Atoll,Locality,Population,Area (in sq km),MapLink,wat_Funding,wat_Phase,wat_Status,wat_Network (m),wat_Connections (nos),wat_Tanks (m3),sew_Funding,sew_Phase,sew_Status,sew_Network,sew_Connections,har_Funding,har_hase ,har_Status,har_Info,des_Funding,des_Phase ,des_Status,Proposed_for_funding,Ongoing_Harbor_Project,Urban_centers
HA,Baarah,1141,2.5,,,,,,,,,,,,,,,,,,,,,,
HA,Dhidhdhoo,3412,0.97,,,,,,,,,,,,,,,,,,,,,,
HA,Filladhoo,559,2.66,,,,,,,,,,,,,,,,,,,,,,
HA,Hoarafushi,1841,0.69,"6.98285884105522, 72.89610430652749",OFID,Phase 2,Completed,,,,GOV (PSIP),,Completed,,,GOV (PSIP),,Completed,,,,,,,
HA,Ihavandhoo,2873,0.63,,,,,,,,,,,,,,,,,,,,,,
HA,Kelaa,1115,2.03,,,,,,,,,,,,,,,,,,,,,,
HA,Maarandhoo,668,0.45,,,,,,,,,,,,,,,,,,,,,,
HA,Mulhadhoo,286,1.19,,,,,,,,,,,,,,,,,,,,,,
HA,Muraidhoo,534,0.48,,,,,,,,,,,,,,,,,,,,,,
HA,Thakandhoo,279,0.41,,,,,,,,,,,,,,,,,,,,,,
HA,Thuraakunu,427,0.26,,,,,,,,,,,,,,,,,,,,,,
HA,Uligamu,400,1.07,,,,,,,,,,,,,,,,,,,,Yes,Yes,
HA,Utheemu,612,0.5,,,,,,,,,,,,,,,,,,,,,,
HA,Vashafaru,476,0.36,,,,,,,,,,,,,,,,,,,,,,
HDh,Finey,409,1.18,"6.744980068688885, 73.05508701206382",GOV (PSIP),,Completed,,,,GOV (PSIP),,Completed,,,GOV (PSIP),,In progress,23% progress. Awarded to MTCC,,,,Yes,Yes,
HDh,Hanimaadhoo,2664,3.04,"6.763084270974105, 73.1804416704029",OFID,Phase 2,Completed,,,,,,Completed,,,GOV (PSIP),,Completed,Expansion completed recently. DLP in progress,,,,,,
HDh,Hirimaradhoo,293,0.47,,,,,,,,,,,,,,,,,,,,,,
HDh,Kulhudhuffushi,10131,2.52,,,,,,,,,,,,,,,,,,,,,,
HDh,Kumundhoo,997,1.9,"6.573004612896201, 73.0501542058433",GOV (PSIP),,Completed,,,,GOV (PSIP),,Completed,,,GOV (PSIP),,In progress,0% progress. Phase 2 expansion works awarded to MTCC. ,OFID,Phase 2,Completed,,,
HDh,Kuribi,492,0.41,"6.665472803965246, 72.996889769373",GOV (PSIP),,In progress,,,,GOV (PSIP),,In progress,,,GOV (PSIP),,In progress,20% progress. Awarded to MTCC,,,,Yes,,
HDh,Makunudhoo,1265,0.81,"6.404659273150561, 72.6984782642984",OFID,Phase 3,In progress,,,,OFID,Phase 3,In progress,,,,,Completed,,OFID,Phase 2,Completed,,,
HDh,Naivaadhoo,495,0.31,"6.746717227523506, 72.93477035045962",GOV (PSIP),,In progress,,,,GOV (PSIP),,In progress,,,GOV (PSIP),,In progress,8% progress. Contractor: MTCC,,,,Yes,,
HDh,Nellaidhoo,1038,0.32,"6.713907915119899, 72.94213251982336",OFID,Phase 3,In progress,,,,OFID,Phase 3,In progress,,,GOV (PSIP),,Completed,Recently completed by MTCC,OFID,Phase 2,Completed,,,
HDh,Neykurendhoo,641,1.72,"6.540239000751849, 72.98026197133066",OFID,Phase 3,In progress,,,,OFID,Phase 3,In progress,,,GOV (PSIP),,In progress,24% progress. Contractor: MTCC,,,,Yes,,
HDh,Nolhivaramu,1985,2.06,"6.660346731553798, 73.07885923889638",GOV (PSIP),,In progress,,,,,,Completed,,,,,,,OFID,Phase 2,Completed,,,
HDh,Nolhivaranfaru,1254,1.74,"6.696210150769848, 73.12020993219754",,,,,,,,,,,,GOV (PSIP),,Completed,Dredging of basin awarded as 1 month project,,,,,,
HDh,Vaikaradhoo,776,1.07,"6.5488774987737575, 72.95684017486309",EXIM (India),,Completed,,,,EXIM (India),,Completed,,,,,Completed,,OFID,Phase 2,Completed,,,
Sh,Bilehffahi,502,0.67,,,,,,,,,,,,,,,,,,,,,,
Sh,Feevah,694,0.88,,,,,,,,,,,,,,,,,,,,,,
Sh,Feydhoo,854,0.9,"6.358897503546359, 73.04613091094917",OFID,Phase 3,In progress,,,,OFID,Phase 3,In progress,,,,,Completed,,,,,,,
Sh,Foakaidhoo,1571,0.68,,,,,,,,,,,,,,,,,,,,,,
Sh,Funadhoo,2255,1.22,,,,,,,,,,,,,,,,,,,,,,
Sh,Goidhoo,592,1.01,,,,,,,,,,,,,,,,,,,,,,
Sh,Kaditheemu,1193,0.89,,,,,,,,,,,,,,,,,,,,,,
Sh,Komandoo,921,0.22,,,,,,,,,,,,,,,,,,,,,,
Sh,Lhaimagu,684,0.44,,,,,,,,,,,,,,,,,,,,,,
Sh,Maaugoodhoo,944,0.29,,,,,,,,,,,,,,,,,,,,,,
Sh,Maroshi,479,0.31,,,,,,,,,,,,,,,,,,,,,,
Sh,Milandhoo,2094,1.33,"6.287315955895034, 73.24550623596494",OFID,Phase 2,Completed,,,,,,,,,GOV (PSIP),,In progress,38% in progress. Awarded to MTCC,,,,,,
Sh,Narudhoo,544,0.43,,,,,,,,,,,,,,,,,,,,,,
Sh,Noomaraa,371,0.39,,,,,,,,,,,,,,,,,,,,,,
N,Fodhdhoo,345,0.26,,,,,,,,,,,,,,,,,,,,,,
N,Henbadhoo,638,0.14,,,,,,,,,,,,,,,,,,,,,,
N,Holhudhoo,1428,0.5,"5.754814592594639, 73.26187866787208",GOV (PSIP),,In progress,,,,,,,,,,,Completed,,OFID,Phase 2,Completed,,,
N,Kedhikulhudhoo,1556,2.09,,,,,,,,,,,,,,,,,,,,,,
N,Kudafari,628,0.29,,,,,,,,,,,,,,,,,,,,,,
N,Landhoo,757,0.87,,,,,,,,,,,,,,,,,,,,,,
N,Lhohi,692,0.41,,,,,,,,,,,,,,,,,,,,,,
N,Maafaru,919,1.34,"5.827378834477457, 73.47801054951583",GOV (PSIP),,Completed,,,,GOV (PSIP),,Completed,,,,,Completed,,OFID,Phase 2,Completed,,,
N,Maalhendhoo,724,0.47,,,,,,,,,,,,,,,,,,,,,,
N,Magoodhoo,305,0.37,,,,,,,,,,,,,,,,,,,,,,
N,Manadhoo,1745,1.11,,,,,,,,,,,,,,,,,,,,,,
N,Miladhoo,934,0.22,,,,,,,,,,,,,,,,,,,,,,
